datetime,open,high,low,close,volume
2022-12-11,711.0,717.5,685.0,695.0,37997
2022-12-18,698.0,716.5,682.0,698.0,45693
2022-12-25,703.5,703.5,685.0,690.0,49024
2023-01-01,694.5,702.0,687.0,689.0,32473
2023-01-08,690.0,730.5,688.0,710.5,126731
2023-01-15,712.5,745.0,686.0,706.5,155166
2023-01-22,706.5,730.0,704.0,715.5,73847
2023-01-29,713.5,728.0,707.0,717.0,90263
2023-02-05,715.5,723.0,710.0,717.5,56663
2023-02-12,717.0,741.5,690.0,696.0,131512
2023-02-19,694.0,713.0,685.0,701.5,49677
2023-02-26,700.0,736.0,696.0,711.0,99542
2023-03-05,713.0,744.5,710.0,716.0,109410
2023-03-12,717.0,724.5,704.0,708.0,62522
2023-03-19,710.0,727.0,702.0,713.0,142009
2023-03-26,718.0,785.5,715.5,745.0,619134
2023-04-02,747.5,770.0,736.0,747.0,198511
2023-04-09,748.0,761.5,726.0,750.0,209317
2023-04-16,755.5,794.0,749.5,778.5,338949
2023-04-23,787.5,807.0,740.5,750.0,166058
2023-04-30,751.5,768.5,710.5,722.5,126175
2023-05-07,725.5,751.5,713.0,730.0,74195
2023-05-14,731.0,748.5,720.0,729.0,90427
2023-05-21,729.5,738.0,704.5,713.0,108909
2023-05-28,715.0,749.5,710.0,722.0,307604
2023-06-04,725.5,732.5,713.0,730.0,172728
2023-06-11,727.5,778.0,726.0,763.0,338603
2023-06-18,766.0,780.0,737.0,753.0,210793
2023-06-25,755.0,774.0,718.0,754.0,180974
2023-07-02,752.5,770.0,740.5,743.5,152482
2023-07-09,744.0,808.0,743.5,782.0,384249
2023-07-16,783.0,815.0,761.0,794.5,518221
2023-07-23,799.0,849.0,798.0,818.5,575690
2023-07-30,818.5,838.0,777.0,788.5,385803
2023-08-06,793.0,820.0,769.0,801.5,287542
2023-08-13,804.0,811.5,747.5,781.0,235345
2023-08-20,786.0,797.0,771.0,787.5,161450
2023-08-27,788.5,805.5,776.5,782.5,229438
2023-09-03,782.5,796.5,739.0,754.5,253559
2023-09-10,759.0,790.0,723.5,757.5,259626
2023-09-17,762.0,765.5,699.0,715.0,138117
2023-09-24,718.0,737.5,708.0,731.0,88826
2023-10-01,730.5,735.0,713.0,720.5,67320
2023-10-08,720.5,730.0,713.0,728.0,76542
2023-10-15,729.5,777.0,729.5,762.5,313868
2023-10-22,764.0,791.5,732.0,745.0,303948
2023-10-29,747.0,749.0,718.5,726.5,112613
2023-11-05,726.5,745.5,719.0,731.5,121701
2023-11-12,735.0,738.0,704.5,718.0,115099
2023-11-19,720.5,728.5,711.0,713.0,59606
2023-11-26,714.0,716.5,682.0,686.5,115769
2023-12-03,686.5,688.0,650.0,666.5,113438
2023-12-10,665.5,683.0,638.5,652.5,90003
2023-12-17,656.0,695.0,654.5,679.5,202685
2023-12-24,684.5,699.0,663.0,669.5,184411
2023-12-31,676.0,696.5,672.5,688.0,64613
2024-01-07,689.0,712.5,682.0,707.0,243659
2024-01-14,709.0,718.0,693.0,702.5,148781
2024-01-21,702.5,742.0,692.0,732.5,294403
2024-01-28,734.5,759.0,722.5,757.5,334711
2024-02-04,763.0,775.0,731.0,744.0,380518
2024-02-11,749.0,780.0,744.0,771.0,210645
2024-02-18,773.0,775.5,721.0,741.0,121435
2024-02-25,755.0,776.5,741.0,768.0,164945
2024-03-03,770.0,773.5,736.0,743.5,160793
2024-03-10,745.0,750.5,731.0,741.0,215255
2024-03-17,741.5,790.0,717.5,771.5,399593
2024-03-24,770.0,882.0,752.0,869.0,707285
2024-03-31,871.0,1090.5,870.5,962.5,1049762
2024-04-07,966.0,1058.5,961.0,1041.5,553509
2024-04-14,1048.0,1090.0,1015.0,1022.0,488633
2024-04-21,1025.0,1205.0,986.5,1142.0,921118
2024-04-28,1151.0,1216.5,1098.0,1197.0,603101
2024-05-05,1202.0,1288.0,1183.5,1223.0,703760
2024-05-12,1228.0,1245.0,1175.5,1204.5,332728
2024-05-19,1205.0,1211.0,1112.0,1126.0,317589
2024-05-26,1121.0,1182.5,1084.0,1088.0,291357
2024-06-02,1060.0,1283.0,1022.5,1249.5,457893
2024-06-09,1249.0,1256.0,1053.0,1180.0,236172
2024-06-16,1182.0,1193.0,1079.0,1120.0,133545
2024-06-23,1116.5,1185.0,1059.0,1154.5,176343
2024-06-30,1146.0,1165.0,1078.0,1123.0,107893
2024-07-07,1111.0,1121.5,1025.5,1041.5,161068
2024-07-14,1042.0,1062.5,968.5,1052.5,191015
2024-07-21,1062.0,1166.5,1060.5,1112.5,203241
2024-07-28,1116.5,1204.0,1077.5,1139.5,532258
2024-08-04,1138.0,1170.0,1077.0,1125.5,227966
2024-08-11,1119.5,1158.0,1087.5,1096.0,107759
2024-08-18,1089.0,1100.0,1030.0,1037.5,124923
2024-08-25,1047.0,1100.0,1045.5,1056.0,57449
